Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2,1400,2 E 55th St Unit 803,"New York, NY 10022",New York County,New York,Manhattan,40.761255,-73.9744834
Brokered by Serhant,Condo for sale,195000000,7,10,17545,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019",United States,New York,New York County,40.7663935,-73.9809909
Brokered by COMPASS,Condo for sale,69000,3,1,445,2 E 55th St Unit 908W33,"Manhattan, NY 10022",United States,New York,New York County,40.7613979,-73.9746128
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,2184,157 W 126th St Unit 1B,"New York, NY 10027",New York,New York County,New York,40.809448,-73.946777
Brokered by Awaye Realty,Condo for sale,549000,2,2,1000,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312",New York,Richmond County,Staten Island,40.5406209,-74.1671632
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2,974,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374",New York,Queens County,Queens,40.7324713,-73.8670804
"Brokered by Apaus, Inc",Condo for sale,1300000,2,2,1244,10724 71st Rd Apt 9F,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7202429,-73.8430513
Brokered by Martino Realty Group,Condo for sale,349900,1,1,651,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.5902064,-74.0958034
Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2,794,47 Lynn Ct,"Staten Island, NY 10314",United States,New York,Richmond County,40.6210398,-74.1504313
Brokered by Ashford Homes LLC,Condo for sale,528000,1,1,602,1238 63rd St Unit 432,"Brooklyn, NY 11219",New York,Kings County,Brooklyn,40.6275896,-74.0016198
Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1,815,338 Berry St Apt 4E,"Brooklyn, NY 11249",New York,Kings County,Brooklyn,40.711969,-73.9649468
Brokered by American Homes Group,Condo for sale,329000,2,1,837,55 Austin Pl Apt 4L,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.6315346,-74.0856344
