Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Sowae Corp,House for sale,260000,4,2,2015,620 Sinclair Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5418051,-74.1961086
Brokered by Sowae Corp,House for sale,690000,5,2,4004,584 Park Pl,"Brooklyn, NY 11238",United States,New York,Kings County,40.6743632,-73.9587248
Brokered by Connie Profaci Realty,House for sale,16800000,8,16,33000,177 Benedict Rd,"Staten Island, NY 10304",United States,New York,Richmond County,40.5950017,-74.1064235
Brokered by Radiant Estates LLC,House for sale,639999,3,2,1260,27 Clove Way,"Staten Island, NY 10301",United States,New York,Richmond County,40.6207403,-74.1114362
Brokered by Elizabeth Marra,House for sale,750000,2,2,1330,280 Loretto St,"Staten Island, NY 10307",United States,New York,Richmond County,40.5039785,-74.2396555
Brokered by American Homes Group,House for sale,998800,3,4,2400,1191 Clove Rd,"Staten Island, NY 10301",United States,New York,Richmond County,40.6175,-74.103996
Brokered by American Homes Group,House for sale,998800,3,4,2400,Waldron Ave,"Staten Island, NY 10301",10301,United States,New York,40.618648,-74.1019085
Brokered by Keller Williams Realty Empire,House for sale,585000,3,2,1100,192 Colfax Ave,"Staten Island, NY 10306",United States,New York,Richmond County,40.5784263,-74.105437
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6,2184,8200 Narrows Ave,"Brooklyn, NY 11209",United States,New York,Kings County,40.6282935,-74.0379695
"Brokered by Tom Marco Real Estate, Inc.",House for sale,595000,3,1,1316,1509 E 48th St,"Brooklyn, NY 11234",United States,New York,Kings County,40.6239146,-73.9291226
Brokered by Sowae Corp,House for sale,314000,3,1,1572,850 E 39th St,"Brooklyn, NY 11210",United States,New York,Kings County,40.6362368,-73.939679
Brokered by Sowae Corp,House for sale,245000,3,1,2184,2942 Lurting Ave,"Bronx, NY 10469",United States,New York,Bronx County,40.8690109,-73.8564445
Brokered by Americas Real Estate Advisors,House for sale,400000,7,3,2385,340 E 234th St,"Bronx, NY 10470",United States,New York,Bronx County,40.8969146,-73.8654984
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8,12000,25 Riverside Dr,"New York, NY 10023",United States,New York,New York County,40.782238,-73.9846322
Brokered by Top Choice Realty LLC,House for sale,899000,3,2,1440,40 Adelphi Ave,"Staten Island, NY 10309",United States,New York,Richmond County,40.5159004,-74.2314825
Brokered by AmeriHomes Realty,House for sale,1495000,4,2,3000,31 4th Ct,"Staten Island, NY 10312",United States,New York,Richmond County,40.5247627,-74.1681035
Brokered by Douglas Elliman - 187 Seventh Ave,House for sale,3950000,5,2,3528,591 4th St,"Brooklyn, NY 11215",United States,New York,Kings County,40.6680619,-73.9748375
Brokered by Compass Realty Central Inc.,House for sale,694000,3,3,1360,364 Armstrong Ave,"Staten Island, NY 10308",United States,New York,Richmond County,40.5423126,-74.1555672
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,688888,4,2,2846,761 S Oak Dr,"Bronx, NY 10467",United States,New York,Bronx County,40.8726182,-73.8651768
Brokered by Sowae Corp,House for sale,400000,4,2,1980,781 Sheperd Ave,"Brooklyn, NY 11208",United States,New York,Kings County,40.665357,-73.8770867
Brokered by Sowae Corp,House for sale,400000,4,2,1980,781 Sheperd Ave,"Brooklyn, NY 11208",United States,New York,Kings County,40.665357,-73.8770867
Brokered by Sowae Corp,House for sale,265000,3,1,2184,135-38 224th St,"Springfield Gardens, NY 11413",United States,New York,Queens County,40.67538,-73.7472571
Brokered by Winzone Realty Inc,House for sale,319000,3,2,1224,57 Neutral Ave,"Staten Island, NY 10306",United States,New York,Richmond County,40.5604695,-74.1018925
Brokered by Exp Realty,House for sale,1100000,9,4,3276,421 W 154th St,"New York, NY 10032",United States,New York,New York County,40.8307115,-73.9424229
Brokered by Keller Williams Realty Liberty,House for sale,650000,3,2,1522,237-14 93rd Rd,"Bellerose, NY 11426",United States,New York,Queens County,40.723245,-73.7293286
Brokered by Rise Realty,House for sale,799000,4,2,1975,604 Lamont Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5387812,-74.193378
Brokered by DiTommaso Real Estate,House for sale,1195000,4,4,2704,52 Indale Ave,"Staten Island, NY 10309",United States,New York,Richmond County,40.5143019,-74.2044734
Brokered by ONLY NINE REALTY LLC,House for sale,275000,4,1,2184,579 E 29th St,"Brooklyn, NY 11210",United States,New York,Kings County,40.6366859,-73.9488175
Brokered by TREBACH REALTY INC,House for sale,1249000,3,2,2184,3021 Arlington Ave,"Bronx, NY 10463",United States,New York,Bronx County,40.8822913,-73.9137305
Brokered by WW Realty Group Inc,House for sale,499000,5,2,1760,2774 Marion Ave,"Bronx, NY 10458",United States,New York,Bronx County,40.8663864,-73.8878945
