Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3,2837,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465",United States,New York,Bronx County,40.8343936,-73.8221101
Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1690000,6,4,2200,149-07 85 Rd,"Briarwood, NY 11435",United States,New York,Queens County,40.710749,-73.809486
Brokered by Century 21 Realty First,Multi-family home for sale,2250000,12,2,5670,2361 81st St,"Brooklyn, NY 11214",11214,United States,New York,40.602654,-73.9869399
Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6,3156,310-312 Hillside Ave,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.6155667,-74.0869554
NoBroker,Multi-family home for sale,925000,5,2,2750,543 Hollywood Ave,"Bronx, NY 10465",United States,New York,Bronx County,40.8242389,-73.8173809
Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8,5040,366 Union Ave Unit 4,"Staten Island, NY 10303",New York,Richmond County,Staten Island,40.6274381,-74.1581613
Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4,2080,544 Hinsdale St,"Brooklyn, NY 11207",United States,New York,Kings County,40.6615475,-73.898309
Brokered by Ashford Homes,Multi-family home for sale,1299888,11,4,3156,310-312 Hillside Ave,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.6155667,-74.0869554
Brokered by Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5,3290,10 Simon Ct,"Staten Island, NY 10307",United States,New York,Richmond County,40.5159256,-74.2361135
Brokered by Exp Realty,Multi-family home for sale,700000,6,2,3053,229 W Tremont Ave Unit A,"Bronx, NY 10453",United States,New York,Bronx County,40.852813,-73.9176871
Brokered by Century 21 Realty First,Multi-family home for sale,2150000,8,4,3200,2226 63rd St,"Brooklyn, NY 11204",United States,New York,Kings County,40.614446,-73.9795824
Brokered by E Realty International Corp,Multi-family home for sale,1280000,7,5,2460,86-05 91st Ave,"Woodhaven, NY 11421",United States,New York,Queens County,40.688312,-73.856322
Brokered by Prestige Homes Ny Inc,Multi-family home for sale,699000,4,3,1591,111-31 141st St,"Jamaica, NY 11435",United States,New York,Queens County,40.6847504,-73.8027331
Brokered by Weichert Realtors TMT Group,Multi-family home for sale,825000,2,2,2184,32-39 Jordan St,"Flushing, NY 11358",United States,New York,Queens County,40.768457,-73.789417
Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,889000,2,2,1520,17 S Greenleaf Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6233188,-74.1259917
Brokered by First Class Homes Inc,Multi-family home for sale,769000,2,2,2184,101-55 112th St,"Richmond Hill South, NY 11419",United States,New York,Queens County,40.6868333,-73.8309133
Brokered by eXp Realty BKNY,Multi-family home for sale,1200000,4,2,2536,66 Bay 22nd St,"Brooklyn, NY 11214",United States,New York,Kings County,40.6042861,-74.0012526
Brokered by RE MAX Edge,Multi-family home for sale,1999000,3,3,2739,259 80th St,"Brooklyn, NY 11209",United States,New York,Kings County,40.6281691,-74.0297598
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4,2554,342 Manhattan St,"Staten Island, NY 10307",United States,New York,Richmond County,40.5016233,-74.2417531
Brokered by Ashford Homes,Multi-family home for sale,1489000,6,2,3780,205 Wiman Ave,"Staten Island, NY 10308",United States,New York,Richmond County,40.5395319,-74.1450877
Brokered by E Realty International Corp,Multi-family home for sale,2880000,9,2,2350,16-33 166th St,"Whitestone, NY 11357",United States,New York,Queens County,40.7832094,-73.7967588
Brokered by Momentum Real Estate LLC,Multi-family home for sale,798000,3,4,2150,425 Father Capodanno Blvd,"Staten Island, NY 10305",United States,New York,Richmond County,40.5874844,-74.0701056
Brokered by Sowae Corp,Multi-family home for sale,250000,5,2,2184,130-24 150th St,"Jamaica, NY 11436",United States,New York,Queens County,40.66911,-73.789339
Brokered by Prospes Real Estate Corp,Multi-family home for sale,600000,2,2,2184,1406 Mac Donough Pl,"Bronx, NY 10465",United States,New York,Bronx County,40.8429545,-73.8249591
Brokered by EXP Realty,Multi-family home for sale,790000,6,3,2520,78 Mountainview Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6105856,-74.1268175
Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,2184,103-12 104th St,"Ozone Park, NY 11417",United States,New York,Queens County,40.6837891,-73.8381042
Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,2184,103-12 104th St,"Ozone Park, NY 11417",United States,New York,Queens County,40.6837891,-73.8381042
Brokered by Sowae Corp,Multi-family home for sale,309000,6,2,2184,2918 Brookhaven Ave,"Far Rockaway, NY 11691",United States,New York,Queens County,40.5980695,-73.7632649
Brokered by Rock Realty Inc,Multi-family home for sale,1150000,12,6,5508,32-40 48 St,"Astoria, NY 11103",United States,New York,Queens County,40.755049,-73.9136386
Brokered by Julia B. Fee Sotheby's International Realty,Multi-family home for sale,1050000,5,4,3132,2818 Miles Ave,"Bronx, NY 10465",United States,New York,Bronx County,40.8176549,-73.8197053
Brokered by Sowae Corp,Multi-family home for sale,425000,5,2,2184,755 Coster St,"Bronx, NY 10474",United States,New York,Bronx County,40.8159966,-73.8881001
Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3,2184,117-37 141st St,"Jamaica, NY 11436",United States,New York,Queens County,40.677393,-73.800094
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6,3519,2619 Shore Pkwy,"Brooklyn, NY 11223",United States,New York,Kings County,40.583514,-73.9738903
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6,3519,2619 Shore Pkwy,"Brooklyn, NY 11223",United States,New York,Kings County,40.583514,-73.9738903
Brokered by Progress Realty Inc.,Multi-family home for sale,999000,6,2,3144,851 Van Nest Ave,"Bronx, NY 10462",United States,New York,Bronx County,40.8451067,-73.8601577
Brokered by New York Realty Minimax,Multi-family home for sale,1188888,15,9,2184,677 Grandview Ave,"Ridgewood, NY 11385",United States,New York,Queens County,40.7075546,-73.9036964
Brokered by Keller Williams Hudson Valley,Multi-family home for sale,899000,6,3,3683,948 E 217th St,"Bronx, NY 10469",United States,New York,Bronx County,40.8796143,-73.856153
