Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Charles Rutenberg Realty Inc,Pending,950000,6,2,3384,254-06 Craft Ave Unit 2,"Jamaica, NY 11422",New York,Queens County,Queens,40.6499031,-73.7354706
Brokered by Charles Rutenberg Realty Inc,Pending,739000,6,4,2184,38 Dare Ct,"Brooklyn, NY 11229",United States,New York,Kings County,40.5877991,-73.9216187
Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1,2184,215 W 75th St Apt 4D,"New York, NY 10023",New York,New York County,New York,40.7810583,-73.9808407
NoBroker,Pending,4800000,6,2,3958,1151 83rd St,"Brooklyn, NY 11228",United States,New York,Kings County,40.6178184,-74.0151165
Brokered by HOT HOMES REALTY LLC.,Pending,90000,1,1,660,16 Mapleton Ave,"Staten Island, NY 10306",United States,New York,Richmond County,40.574451,-74.0929448
Brokered by E House Realty & Mgt. Inc.,Pending,769000,3,4,2184,290 Lake Ave,"Staten Island, NY 10303",United States,New York,Richmond County,40.6291962,-74.1518654
Brokered by Douglas Elliman - Franklin Square,Pending,668000,3,2,1606,88-08 Gettysburg St,"Bellerose, NY 11426",United States,New York,Queens County,40.7299787,-73.7310756
Brokered by J. Milo Real Estate Ltd,Pending,879900,3,2,2242,640 Sheldon Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5409077,-74.1964937
Brokered by Corcoran SoHo,Pending,748999,3,2,1620,122 North Dr,"Staten Island, NY 10305",United States,New York,Richmond County,40.606691,-74.0724094
Brokered by GLASHEN REALTY GROUP INC,Pending,675000,3,2,2184,558 E 34th St,"Brooklyn, NY 11203",United States,New York,Kings County,40.6428139,-73.9451438
Brokered by Corcoran Chelsea/Flatiron,Pending,13500000,5,7,2184,112 Waverly Pl,"New York, NY 10011",United States,New York,New York County,40.7323524,-73.9993358
Brokered by RE MAX Edge,Pending,1188000,4,2,3840,139 Atlantic Ave,"Staten Island, NY 10304",United States,New York,Richmond County,40.5929709,-74.0937822
Brokered by All American Realty Management,Pending,184888,3,1,500,2902745 35 98th St Unit 15A,"Queens, NY 11374",New York,Queens County,Queens,40.7343409,-73.859014
Brokered by Corcoran Brooklyn Heights,Pending,5895000,8,5,6312,219 Frost St,"Brooklyn, NY 11211",United States,New York,Kings County,40.7185648,-73.9422548
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Pending,309000,3,2,2184,151-40 88 St Unit 5J,"Howard Beach, NY 11414",New York,Queens County,Queens,40.6674344,-73.8479327
Brokered by Corcoran Brooklyn Heights,Pending,529900,1,1,630,175 Adams St Apt 10E,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6985714,-73.9881911
Brokered by Prime Realty,Pending,999000,5,2,2184,59-14 69th St,"Maspeth, NY 11378",United States,New York,Queens County,40.7227469,-73.8941061
